Name,Subtitle,AM Service Time,PM Service Time,Street,City,State,Postcode,Phone,Email,Website,Minister/Pastor,URL,Presbytery,pcharge_status,Latitude,Longitude,Attempt,Lat_adj,Lon_adj
Beecroft,Unknown,8.45 & 10.30,Unknown,3 Mary St,Beecroft,New South Wales,2119,Unknown,Unknown,http://www.beecroftpresbyterian.org.au,Paul Harris,https://preskey.org.au/index.php/new-south-wales-act/item/beecroft?category_id=48,Presbytery of Sydney North,Full (Sanctioned) Charge,-33.75336,151.06418,0,-33.7533516,151.0641826
Ben Lomond,Unknown,Unknown,2.00 (1st Sun Even Months),Wandsworth Rd,Ben Lomond,New South Wales,2365,Unknown,Unknown,Unknown,Andrew Campbell,https://preskey.org.au/index.php/new-south-wales-act/item/ben-lomond?category_id=48,Presbytery of North Inland NSW,Home Mission Charge,-30.0406,151.61817,0,-30.0415875,151.6078094
"Beresfield, (St David's)",Unknown,7.45,Unknown,Beresford St,Beresfield,New South Wales,2322,Unknown,Unknown,Unknown,Michael Bosshard,https://preskey.org.au/index.php/new-south-wales-act/item/beresfield-st-david-s?category_id=48,Presbytery of the Hunter,Full (Sanctioned) Charge,-32.8002,151.65156,0,-32.8010227,151.6571611
Berry,Unknown,10.00,Family Service: Last Sunday of each month 5 pm,Cnr Alexandra St & Victoria St,Berry,New South Wales,2535,Unknown,Unknown,http://www.berrypresbyterianchurch.net.au,Isaac Jung,https://preskey.org.au/index.php/new-south-wales-act/item/berry?category_id=48,Presbytery of the Illawarra,Home Mission Charge,-34.77743,150.69613,0,-34.78029735,150.69668534188347
Bexley,Unknown,9.30 (Bexley),5.30 (Rockdale),269 Forest Rd,Bexley,New South Wales,2207,Unknown,Unknown,Unknown,Ramise Biu Tabuatamata,https://preskey.org.au/index.php/new-south-wales-act/item/bexley?category_id=48,Presbytery of Sydney South,Full (Sanctioned) Charge,-33.94312,151.12938,0,-33.9523543,151.1181427
Bingara,Unknown,10.00,Unknown,45 Cunningham St,Bingara,New South Wales,2404,Unknown,Unknown,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/bingara?category_id=48,Presbytery of North Inland NSW,Home Mission Charge,-29.86862,150.57097,0,-29.8687381,150.5710054
Black Mountain,Unknown,Unknown,3pm 2nd Sunday even months,Black Mountain Baptist church,Black Mountain,New South Wales,2365,Unknown,Unknown,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/black-mountain?category_id=48,Presbytery of North Inland NSW,Home Mission Charge,-30.29634,151.66447,0,-30.3094706,151.6626582
Blackheath,Unknown,"11.15 1st., 3rd & 5th Sundays",Unknown,123-125 Wentworth St,Blackheath,New South Wales,2785,Unknown,Unknown,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/blackheath?category_id=48,Presbytery of Central Tablelands,Full (Sanctioned) Charge,-33.63445,150.2866,0,-33.634515500000006,150.2865217505256
Blacktown East,Unknown,9.30,6.00,Cnr Heffron Rd & Gallop Grove,Lalor Park,New South Wales,2147,Unknown,Unknown,http://www.blacktowneastpc.org.au,Keith Boulden,https://preskey.org.au/index.php/new-south-wales-act/item/blacktown-east?category_id=48,Presbytery of Western Sydney,Full (Sanctioned) Charge,-33.7599,150.93239,0,-33.7649937,150.9288833
Blaxland,Unknown,8.45 & 10.15,Unknown,15A Wilson Way,Blaxland,New South Wales,2774,Unknown,Unknown,http://blaxlandpresbyterian.org.au,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/blaxland?category_id=48,Presbytery of Western Sydney,Full (Sanctioned) Charge,-33.74183,150.60867,0,-33.7469187,150.6166237
