Name,Subtitle,AM Service Time,PM Service Time,Street,City,State,Postcode,Phone,Website,URL
Bomaderry,Unknown,8.00 (4th Sun),Unknown,Meroo St,Bomaderry,New South Wales,2541,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/bomaderry?category_id=48
Bondi,Unknown,10.00,7.00,Cnr Castlefield & Miller Sts,Bondi,New South Wales,2026,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/bondi?category_id=48
Bonnyrigg Christian PC,Unknown,Unknown,Unknown,14 - 16 Bibby's Place,Bonnyrigg,New South Wales,2177,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/bonnyrigg-christian-pc?category_id=48
Botany-Mascot,Unknown,10.30,Unknown,768 Botany Rd,Mascot,New South Wales,2020,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/botany-mascot?category_id=48
Bowenfels,Unknown,10.00,Unknown,15 Mudgee St,Bowenfels,New South Wales,2790,Unknown,http://bowenfelspresbyterianparish.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/bowenfels?category_id=48
"Bowral, St Andrew's",Unknown,9.30,Unknown,10-12 Bendooley St,Bowral,New South Wales,2576,Unknown,https://www.facebook.com/BowralPresbyterianChurch/,https://preskey.org.au/index.php/new-south-wales-act/item/bowral-st-andrew-s?category_id=48
"Burwood, St James'",Unknown,9.30,Unknown,46 - 48 Belmore St,Burwood,New South Wales,2134,Unknown,http://www.burwoodbpc.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/burwood-st-james?category_id=48
Byron Bay,Unknown,9.30,Unknown,13 Ruskin St,Byron Bay,New South Wales,2481,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/byron-bay?category_id=48
Camden,Unknown,9.30,Unknown,42 John St,Camden,New South Wales,2570,Unknown,http://www.camdenpreschurch.org/,https://preskey.org.au/index.php/new-south-wales-act/item/camden?category_id=48
Campbelltown,Unknown,9:00 am,Unknown,40 Lithgow St,Campbelltown,New South Wales,2560,Unknown,http://www.ctownpres.com/,https://preskey.org.au/index.php/new-south-wales-act/item/campbelltown?category_id=48
Caringbah,Unknown,9.30,Unknown,393 Port Hacking Road South,Caringbah,New South Wales,2229,Unknown,http://www.caringbahchurch.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/caringbah?category_id=48
Carlingford,Unknown,10.00,6.00,"Roselea Public School,North Rocks Rd",Carlingford,New South Wales,2118,Unknown,http://www.carlingford.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/carlingford-presbyterian-church?category_id=48
Casino,Unknown,9.30,Unknown,Canterbury St,Casino,New South Wales,2470,Unknown,http://www.casinopc.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/casino?category_id=48
"Castle Hill, St Columba's",Unknown,9.30,Unknown,247 Old Northern Rd,Castle Hill,New South Wales,2154,Unknown,http://www.facebook.com/St-Columbas-Presbyterian-Church-499513450226209/,https://preskey.org.au/index.php/new-south-wales-act/item/castle-hill-st-columba-s?category_id=48
Chapel Hill Rozelle,Unknown,Unknown,Unknown,665A Darling St,Rozelle,New South Wales,2039,Unknown,http://www.chapelhill.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/chapel-hill-presbyterian-church?category_id=48
Charlestown,Unknown,9.45,6.00,Smart St,Charlestown,New South Wales,2290,Unknown,http://www.charlestownpresbyterian.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/charlestown?category_id=48
"Chatswood, St Andrews",Unknown,9.00; 10.45,6.30,37 Anderson St,Chatswood,New South Wales,2067,Unknown,http://www.chatswoodpc.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/chatswood-st-andrews?category_id=48
Cherrybrook,Unknown,9.30,Unknown,"John Purchase Public School, Purchase Rd",Cherrybrook,New South Wales,2126,Unknown,http://www.cherrybrookpc.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/cherrybrook?category_id=48
Chester Hill,Unknown,9:00 English & 11:00 Korean,Unknown,64 Priam St,Chester Hill,New South Wales,2162,Unknown,http://enchristochurch.com.au/,https://preskey.org.au/index.php/new-south-wales-act/item/chester-hill?category_id=48
Chinese (Surry Hills),Unknown,9am English; 9am Mandarin;10.30 Cantonese; 12noon Bilingual English/Cantonese,4pm English,Cnr Crown & Albion Sts,Surry Hills,New South Wales,2010,Unknown,http://www.cpc.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/chinese?category_id=48
Chinese (Maroubra),Unknown,Unknown,4.00,8 Robey St,Maroubra,New South Wales,2035,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/chinese-maroubra?category_id=48
"City Central Church, Wollongong",Unknown,9.45,6.00,Cnr Kembla & Burelli Sts,Wollongong,New South Wales,2500,Unknown,http://www.wollongongpresychurch.com.au,https://preskey.org.au/index.php/new-south-wales-act/item/city-central-church-wollongong?category_id=48
"Clarence Town, St David's",Unknown,11.00,Unknown,Marshall St,Clarence Town,New South Wales,2321,Unknown,http://www.standrewsdungog.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/clarence-town-st-david-s?category_id=48
Coffs Harbour (Harbourside),Unknown,8.00 & 9.45,5.00,187 Harbour Drv,Coffs Harbour,New South Wales,2450,Unknown,http://www.harboursidepc.com.au,https://preskey.org.au/index.php/new-south-wales-act/item/coffs-harbour?category_id=48
Comboyne,Unknown,11.15 (4th Sunday),Unknown,12 Thone St,Comboyne,New South Wales,Unknown,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/comboyne?category_id=48
Como,Unknown,9.30,Unknown,48 Bindea St,Como,New South Wales,2226,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/como?category_id=48
Concord (North Strathfield),Unknown,9.00 & 10.30,Unknown,182 Concord Rd,North Stratfield,New South Wales,2137,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/concord-north-strathfield?category_id=48
Condobolin,Unknown,Unknown,Unknown,McDonnell St,Condobolin,New South Wales,2877,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/condobolin?category_id=48
Cook Island,Unknown,10.00,Unknown,121 Rooty Hill Rd South,Rooty Hill,New South Wales,2195,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/cook-island?category_id=48
Coolah,Unknown,Unknown,Unknown,Booyamurra St,Coolah,New South Wales,2843,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/coolah?category_id=48
Coonabarabran,Unknown,10.00,Unknown,12 John St,Coonabarabran,New South Wales,2357,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/coonabarabran?category_id=48
Cootamundra,Unknown,10.00,Unknown,Cnr Parker & Francis Sts,Cootamundra,New South Wales,2590,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/cootamundra?category_id=48
Coreen,Unknown,Unknown,Unknown,Main Rd,Coreen,New South Wales,2646,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/coreen?category_id=48
Cornerstone (Concord),Unknown,9.30,Unknown,Concord Public School Cnr Burwood Rd & Stanley St,Concord,New South Wales,2137,Unknown,http://www.cornerstonechurch.com.au,https://preskey.org.au/index.php/new-south-wales-act/item/cornerstone-concord?category_id=48
Cornerstone (Eastwood),Unknown,9.30,Unknown,"Eastwood Heights Public School, Lincoln St",Eastwood,New South Wales,2122,Unknown,http://www.cornerstonechurch.com.au,https://preskey.org.au/index.php/new-south-wales-act/item/cornerstone-eastwood?category_id=48
Cornerstone (Homebush Bay),Unknown,9/30,Unknown,64 Victoria Ave,Concord West,New South Wales,2138,Unknown,http://www.cornerstonechurch.com.au,https://preskey.org.au/index.php/new-south-wales-act/item/cornerstone-homebush-bay?category_id=48
Cornerstone (Strathfield),Unknown,9.30,Unknown,Cnr Barker Rd & Marion Rd,Strathfield,New South Wales,2135,Unknown,http://www.cornerstonechurch.com.au,https://preskey.org.au/index.php/new-south-wales-act/item/cornerstone-strathfield?category_id=48
Corowa,Unknown,9.30,Unknown,Mary St,Corowa,New South Wales,2646,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/corowa?category_id=48
"Cowra, St Peter's",Unknown,9.30,Unknown,50 Macquarie St,Cowra,New South Wales,2974,Unknown,http://cowrachurch.org/,https://preskey.org.au/index.php/new-south-wales-act/item/cowra-st-peter-s?category_id=48
Cronulla,Unknown,9.30,5.30,11 Croydon St,Cronulla,New South Wales,2230,Unknown,http://www.cronullapresbyterian.com,https://preskey.org.au/index.php/new-south-wales-act/item/cronulla-community?category_id=48
"Crookwell, St Andrew's",Unknown,Unknown,Thursday. 7.30pm,Colyer St,Crookwell,New South Wales,2583,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/crookwell-st-andrew-s?category_id=48
Delungra,Unknown,8.45,Unknown,Inverell St,Delungra,New South Wales,2403,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/delungra?category_id=48
Drummoyne,Unknown,9.00 (trad) 10.30 (contemporay),5pm (contemporary),Corner Lyons Road and College Street,Drummoyne,New South Wales,2047,Unknown,http://www.drummoyne.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/drummoyne?category_id=48
Dubbo,Unknown,"8.30, 10.30",6.00,61 Douglas Mawson Rd,Dubbo,New South Wales,2830,Unknown,http://dubbo.church,https://preskey.org.au/index.php/new-south-wales-act/item/dubbo?category_id=48
Dunedoo,Unknown,Unknown,Unknown,58 Tucklan St,Dunedoo,New South Wales,2844,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/dunedoo?category_id=48
"Dungog, St Andrew's",Unknown,9.00,Unknown,Dowling St,Dungog,New South Wales,2420,Unknown,http://www.dungogpc.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/dungog-st-andrew-s?category_id=48
East Maitland (St Stephens),Unknown,9.30,Unknown,64 George St,East Maitland,New South Wales,2323,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/east-maitland-st-stephens?category_id=48
Engadine,Unknown,10.30,Unknown,80 Anzac Ave,Engadine,New South Wales,2233,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/engadine?category_id=48
Epping,Unknown,9.00 & 10.30,4.30 & 6.30,9 Bridge St,Epping,New South Wales,2121,Unknown,http://www.eppingpresbyterian.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/epping?category_id=48
Evans Head,Unknown,9.30,Unknown,63 Woodburn Street,Evans Head,New South Wales,2473,Unknown,https://www.evansheadpc.org,https://preskey.org.au/index.php/new-south-wales-act/item/evans-head?category_id=48
Forbes,Unknown,Unknown,Unknown,Harold St,Forbes,New South Wales,2871,Unknown,http://pfphpresbyterian.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/forbes?category_id=48
Forster - Tuncurry,Unknown,9.30,6.00,16 Bruce St,Forster,New South Wales,2428,Unknown,http://forstertuncurrypc.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/forster-tuncurry?category_id=48
Garah,Unknown,Unknown,Unknown,Railway Prd,Garah,New South Wales,2405,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/garah?category_id=48
Ghanaian,Unknown,Unknown,Unknown,7 McKern St,Wentworthville,New South Wales,2145,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/ghanaian?category_id=48
Gilgandra,Unknown,11.00 (9.00 4th Sun),"5.00 (4.00 May, June,July, Aug)",40 Myrtle St,Gilgandra,New South Wales,2827,Unknown,http://www.gilgandrapc.com,https://preskey.org.au/index.php/new-south-wales-act/item/gilgandra?category_id=48
"Gladesville, Church of St Andrew",Unknown,9.00,Unknown,2 Pittwater Road,Gladesville,New South Wales,2111,Unknown,http://www.gladeshill.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/gladesville-church-of-st-andrew?category_id=48
"Glen Innes, St Andrew's",Unknown,"10.30am m/tea, 11am serVice",Unknown,Heron St,Glen Innes,New South Wales,2370,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/glen-innes-st-andrew-s?category_id=48
Gloucester,Unknown,9.30,Unknown,Barrington St,Gloucester,New South Wales,2422,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/gloucester?category_id=48
Gosford,Unknown,8.00 and 9.45,6.30,14-16 Young St,West Gosford,New South Wales,2250,Unknown,http://www.gosfordpc.com.au,https://preskey.org.au/index.php/new-south-wales-act/item/gosford?category_id=48
"Goulburn, St Andrew's",Unknown,9.30,Unknown,25 Clifford St,Goulburn,New South Wales,2580,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/goulburn-st-andrew-s?category_id=48
Warabrook Grace - (Newcastle),Unknown,10.00,6.00,144 Nelson St,Wallsend,New South Wales,2287,Unknown,http://gracepc.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/grace-presbyterian-church-newcastle-warabrook?category_id=48
"Grafton, St Andrew's",Unknown,9.30,Unknown,116 Oliver St,Grafton,New South Wales,2460,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/grafton-st-andrew-s?category_id=48
Granville,Unknown,9.00,Unknown,14 Hutchinson St,Granville,New South Wales,2142,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/granville?category_id=48
Grenfell,Unknown,10.00,Unknown,Corner Weddin St & Middle St,Grenfell,New South Wales,2810,Unknown,http://grenfellpresbyterian.blogspot.com,https://preskey.org.au/index.php/new-south-wales-act/item/grenfell?category_id=48
Griffith,Unknown,9.30,Unknown,Blumer Ave,Griffith,New South Wales,2680,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/griffith?category_id=48
Gulargambone,Unknown,9.00,Unknown,Armitree St,Gulargambone,New South Wales,2828,Unknown,http://www.gilgandrapc.com,https://preskey.org.au/index.php/new-south-wales-act/item/gulargambone?category_id=48
Gulgong,Unknown,10.00,Unknown,46 Bayley St,Gulgong,New South Wales,2852,Unknown,http://gulgongpresbyterian.org,https://preskey.org.au/index.php/new-south-wales-act/item/gulgong?category_id=48
Gunnedah,Unknown,9.30,6.30,Cnr Marquis St & Barber St,Gunnedah,New South Wales,2380,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/gunnedah?category_id=48
Guyra,Unknown,10.00,Unknown,Tenterden St,Guyra,New South Wales,2365,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/guyra?category_id=48
"Hamilton (NSW), Scots Kirk",Unknown,9.30,Unknown,Cnr Tudor & Murray Sts,Hamilton,New South Wales,2303,Unknown,http://www.hamiltonpresbyterian.com,https://preskey.org.au/index.php/new-south-wales-act/item/hamilton-nsw-scots-kirk?category_id=48
Henty,Unknown,10.30,Unknown,2A Hayes St,Henty,New South Wales,2658,Unknown,http://www.hentylockhartpresy.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/henty?category_id=48
"Hill End, St Paul's",Unknown,Unknown,2.00 4th Sunday of month,Tambaroora St,Hill End,New South Wales,2850,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/hill-end-st-paul-s?category_id=48
"Hurstville, Indonesian",Unknown,Indonesian Service: 9.00 AM.,Unknown,40 Collingwood Ave,Earlwood,New South Wales,2206,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/hurstville-indonesian?category_id=48
Ingleburn,Unknown,10.00,Unknown,6/48 Lancaster St,Ingleburn,New South Wales,2565,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/ingleburn?category_id=48
"Inverell, St Andrew's",Unknown,9.30,6.30,94 Vivian St,Inverell,New South Wales,2360,Unknown,http://inverell.presbyterian.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/inverell-st-andrew-s?category_id=48
Junee,Unknown,10.00,Unknown,Cnr Lisgar & Denison Sts,Junee,New South Wales,2663,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/junee?category_id=48
Kempsey,Unknown,9.00,Unknown,54 Rudder St,Kempsey,New South Wales,2440,Unknown,https://kswrpc.org/,https://preskey.org.au/index.php/new-south-wales-act/item/kempsey?category_id=48
Kiama,Unknown,9.00,Unknown,Cnr Shoalhaven & Terralong St,Kiama,New South Wales,2533,Unknown,http://www.kiamapc.com.au,https://preskey.org.au/index.php/new-south-wales-act/item/kiama?category_id=48
Kingsford (IPC),Unknown,11.15,Unknown,94 Houston Rd,Kingsford,New South Wales,2032,Unknown,http://www.ipc.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/kingsford-ipc?category_id=48
Cornerstone Kogarah Presbyterian Church,Unknown,9.30,Unknown,12-16 Derby St,Kogarah,New South Wales,2217,Unknown,https://www.cornerstonechurch.com.au/,https://preskey.org.au/index.php/new-south-wales-act/item/cornerstone-kogarah-presbyterian-church?category_id=48
Korean Antioch,Unknown,9.30; 11.00,1.30 Wednesday 7.30 Sunday,"Strathfield Girls' High School, 116 - 146 Albert Rd",Strathfield,New South Wales,2135,Unknown,http://www.sydneyantioch.com,https://preskey.org.au/index.php/new-south-wales-act/item/korean-antioch?category_id=48
Korean Canaan (Petersham),Unknown,11.00,2.00,2 Gordon St,Petersham,New South Wales,2049,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/korean-canaan-petersham?category_id=48
